lga_2016,state,industry_people,industry_type,industry_type_full,lga_total_industry_people
18050,1,2617,hospitality,accommodation_and_food_services,36426
18100,1,56,hospitality,accommodation_and_food_services,1437
18200,1,207,hospitality,accommodation_and_food_services,2786
18230,1,1645,hospitality,accommodation_and_food_services,22142
18250,1,2338,hospitality,accommodation_and_food_services,36309
18350,1,1853,hospitality,accommodation_and_food_services,20644
18400,1,1161,hospitality,accommodation_and_food_services,24054
18450,1,6566,hospitality,accommodation_and_food_services,88251
18500,1,1499,hospitality,accommodation_and_food_services,28005
18710,1,545,hospitality,accommodation_and_food_services,8076
19399,1,105,hospitality,accommodation_and_food_services,599
19499,1,389,hospitality,accommodation_and_food_services,3331
19799,1,9,hospitality,accommodation_and_food_services,130
20110,2,758,hospitality,accommodation_and_food_services,5488
20260,2,290,hospitality,accommodation_and_food_services,4708
20570,2,3454,hospitality,accommodation_and_food_services,44716
20660,2,2920,hospitality,accommodation_and_food_services,58915
20740,2,1162,hospitality,accommodation_and_food_services,12537
20830,2,1297,hospitality,accommodation_and_food_services,21255
20910,2,2346,hospitality,accommodation_and_food_services,45993
21010,2,383,hospitality,accommodation_and_food_services,5659
21110,2,5197,hospitality,accommodation_and_food_services,82260
21180,2,5983,hospitality,accommodation_and_food_services,80034
21270,2,125,hospitality,accommodation_and_food_services,2486
21370,2,1128,hospitality,accommodation_and_food_services,15950
21450,2,2256,hospitality,accommodation_and_food_services,44955
21610,2,7292,hospitality,accommodation_and_food_services,137913
21670,2,292,hospitality,accommodation_and_food_services,4352
21750,2,836,hospitality,accommodation_and_food_services,9545
21830,2,395,hospitality,accommodation_and_food_services,7164
21890,2,5418,hospitality,accommodation_and_food_services,70311
22110,2,1486,hospitality,accommodation_and_food_services,17003
22170,2,3475,hospitality,accommodation_and_food_services,63406
22250,2,193,hospitality,accommodation_and_food_services,4404
22310,2,4079,hospitality,accommodation_and_food_services,69634
22410,2,538,hospitality,accommodation_and_food_services,8311
22490,2,439,hospitality,accommodation_and_food_services,10196
22620,2,3381,hospitality,accommodation_and_food_services,48675
22670,2,4185,hospitality,accommodation_and_food_services,60306
22750,2,7607,hospitality,accommodation_and_food_services,103580
22830,2,1482,hospitality,accommodation_and_food_services,26976
22910,2,622,hospitality,accommodation_and_food_services,6346
22980,2,57,hospitality,accommodation_and_food_services,2298
23110,2,2436,hospitality,accommodation_and_food_services,41978
23190,2,624,hospitality,accommodation_and_food_services,9111
23270,2,5162,hospitality,accommodation_and_food_services,81025
23350,2,491,hospitality,accommodation_and_food_services,7492
23430,2,4136,hospitality,accommodation_and_food_services,74103
23670,2,4165,hospitality,accommodation_and_food_services,77348
23810,2,2009,hospitality,accommodation_and_food_services,29490
23940,2,95,hospitality,accommodation_and_food_services,2838
24130,2,1087,hospitality,accommodation_and_food_services,21741
24210,2,3682,hospitality,accommodation_and_food_services,52818
24250,2,436,hospitality,accommodation_and_food_services,3781
24330,2,3698,hospitality,accommodation_and_food_services,41648
24410,2,2768,hospitality,accommodation_and_food_services,54940
24600,2,9035,hospitality,accommodation_and_food_services,65156
24650,2,3565,hospitality,accommodation_and_food_services,60028
24780,2,1634,hospitality,accommodation_and_food_services,22501
24850,2,1124,hospitality,accommodation_and_food_services,18406
24900,2,847,hospitality,accommodation_and_food_services,11806
24970,2,5506,hospitality,accommodation_and_food_services,80373
25060,2,3419,hospitality,accommodation_and_food_services,57761
25150,2,765,hospitality,accommodation_and_food_services,14632
25250,2,6410,hospitality,accommodation_and_food_services,80352
25340,2,4413,hospitality,accommodation_and_food_services,67498
25430,2,424,hospitality,accommodation_and_food_services,7558
25490,2,455,hospitality,accommodation_and_food_services,7730
25620,2,503,hospitality,accommodation_and_food_services,5954
25710,2,1507,hospitality,accommodation_and_food_services,32575
25810,2,371,hospitality,accommodation_and_food_services,4859
25900,2,4042,hospitality,accommodation_and_food_services,57705
25990,2,137,hospitality,accommodation_and_food_services,2664
26080,2,106,hospitality,accommodation_and_food_services,1046
26170,2,677,hospitality,accommodation_and_food_services,12184
26260,2,458,hospitality,accommodation_and_food_services,7250
26350,2,3893,hospitality,accommodation_and_food_services,56530
26430,2,279,hospitality,accommodation_and_food_services,4369
26490,2,1184,hospitality,accommodation_and_food_services,14079
26610,2,585,hospitality,accommodation_and_food_services,8568
26670,2,143,hospitality,accommodation_and_food_services,2673
26700,2,906,hospitality,accommodation_and_food_services,12616
26730,2,1365,hospitality,accommodation_and_food_services,15601
26810,2,1084,hospitality,accommodation_and_food_services,17944
26890,2,53,hospitality,accommodation_and_food_services,1860
26980,2,5237,hospitality,accommodation_and_food_services,74705
27070,2,5185,hospitality,accommodation_and_food_services,88550
27170,2,1217,hospitality,accommodation_and_food_services,18199
27260,2,5940,hospitality,accommodation_and_food_services,98411
27350,2,4105,hospitality,accommodation_and_food_services,50781
27450,2,3932,hospitality,accommodation_and_food_services,74415
27630,2,90,hospitality,accommodation_and_food_services,2626
29399,2,153,hospitality,accommodation_and_food_services,440
29499,2,245,hospitality,accommodation_and_food_services,2033
29799,2,3,hospitality,accommodation_and_food_services,23
30250,3,0,hospitality,accommodation_and_food_services,231
30300,3,83,hospitality,accommodation_and_food_services,2149
30370,3,314,hospitality,accommodation_and_food_services,7185
30410,3,51,hospitality,accommodation_and_food_services,1447
30450,3,13,hospitality,accommodation_and_food_services,167
30760,3,41,hospitality,accommodation_and_food_services,932
30900,3,3,hospitality,accommodation_and_food_services,218
31000,3,41446,hospitality,accommodation_and_food_services,570455
31750,3,16,hospitality,accommodation_and_food_services,220
31820,3,2345,hospitality,accommodation_and_food_services,33970
31900,3,388,hospitality,accommodation_and_food_services,7841
31950,3,17,hospitality,accommodation_and_food_services,147
32080,3,7273,hospitality,accommodation_and_food_services,72405
32250,3,66,hospitality,accommodation_and_food_services,813
32260,3,759,hospitality,accommodation_and_food_services,12084
32270,3,847,hospitality,accommodation_and_food_services,13460
32310,3,274,hospitality,accommodation_and_food_services,4579
32330,3,0,hospitality,accommodation_and_food_services,127
32450,3,63,hospitality,accommodation_and_food_services,1520
32500,3,205,hospitality,accommodation_and_food_services,1707
32600,3,3,hospitality,accommodation_and_food_services,110
32750,3,17,hospitality,accommodation_and_food_services,164
32770,3,3,hospitality,accommodation_and_food_services,279
32810,3,1352,hospitality,accommodation_and_food_services,5509
33100,3,28,hospitality,accommodation_and_food_services,360
33200,3,39,hospitality,accommodation_and_food_services,795
33220,3,2763,hospitality,accommodation_and_food_services,32271
33360,3,1832,hospitality,accommodation_and_food_services,27074
33430,3,25241,hospitality,accommodation_and_food_services,260548
33610,3,280,hospitality,accommodation_and_food_services,4855
33620,3,1099,hospitality,accommodation_and_food_services,17499
33800,3,265,hospitality,accommodation_and_food_services,4562
33830,3,0,hospitality,accommodation_and_food_services,230
33960,3,4655,hospitality,accommodation_and_food_services,84285
33980,3,650,hospitality,accommodation_and_food_services,9972
34420,3,3,hospitality,accommodation_and_food_services,227
34530,3,1125,hospitality,accommodation_and_food_services,15425
34570,3,0,hospitality,accommodation_and_food_services,189
34580,3,879,hospitality,accommodation_and_food_services,15762
34590,3,7015,hospitality,accommodation_and_food_services,131955
34710,3,123,hospitality,accommodation_and_food_services,1938
34770,3,3297,hospitality,accommodation_and_food_services,52732
34800,3,27,hospitality,accommodation_and_food_services,490
34830,3,0,hospitality,accommodation_and_food_services,82
34860,3,320,hospitality,accommodation_and_food_services,6356
34880,3,514,hospitality,accommodation_and_food_services,8284
