DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10750,A,2013,67328,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10750,A,2014,72964,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10750,A,2015,77905,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10750,A,2016,82663,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10750,A,2017,85359,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10800,A,2013,1835,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10800,A,2014,2011,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10800,A,2015,2076,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10800,A,2016,2012,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10800,A,2017,2112,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10850,A,2013,2009,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10850,A,2014,2193,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10850,A,2015,2262,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10850,A,2016,2280,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10850,A,2017,2501,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10900,A,2013,24977,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10900,A,2014,26460,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10900,A,2015,27543,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10900,A,2016,28368,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10900,A,2017,28759,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10950,A,2013,729,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10950,A,2014,880,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10950,A,2015,933,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10950,A,2016,926,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,10950,A,2017,909,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11150,A,2013,645,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11150,A,2014,723,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11150,A,2015,711,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11150,A,2016,680,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11150,A,2017,725,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11200,A,2013,232,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11200,A,2014,266,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11200,A,2015,265,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11200,A,2016,272,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11200,A,2017,265,NUM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),PRIVATE_2,LGA2018,11250,A,2013,4294,NUM,,,
