DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56580,A,2018,22554,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2001,1562,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2002,1533,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2003,1506,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2004,1493,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2005,1477,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2006,1466,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2007,1483,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2008,1498,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2009,1494,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2010,1508,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2011,1508,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2012,1591,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2013,1689,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2014,1705,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2015,1713,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2016,1708,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2017,1723,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56620,A,2018,1747,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2001,10284,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2002,10302,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2003,10267,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2004,10157,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2005,10270,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2006,10280,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2007,10256,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2008,10400,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2009,10553,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2010,10670,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2011,10830,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2012,11169,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2013,11472,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2014,11570,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2015,11420,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2016,11238,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2017,11228,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56730,A,2018,11190,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2001,3347,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2002,3358,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2003,3355,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2004,3369,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2005,3345,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2006,3334,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2007,3322,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2008,3318,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2009,3309,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2010,3298,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2011,3281,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2012,3371,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2013,3432,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2014,3389,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2015,3357,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2016,3335,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2017,3205,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56790,A,2018,3077,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2001,276,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2002,273,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2003,269,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2004,266,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2005,258,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2006,255,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2007,252,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2008,247,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2009,238,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2010,234,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2011,236,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2012,246,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2013,254,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2014,256,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2015,259,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2016,259,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2017,253,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56860,A,2018,247,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2001,1653,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2002,1651,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2003,1656,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2004,1672,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2005,1692,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2006,1691,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2007,1653,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2008,1630,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2009,1633,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2010,1627,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2011,1629,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2012,1688,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2013,1694,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2014,1707,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2015,1709,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2016,1708,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2017,1717,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,56930,A,2018,1721,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57000,A,2001,615,PSNS,,
